AgentType;MapName;Episode;EpisodeDuration;PlayerCaptured;CaptureTime
PPO;Map_01;1;2.88;Yes;0.1199999
PPO;Map_01;2;2.5;Yes;1.04
PPO;Map_01;3;2.58;Yes;1.04
PPO;Map_01;4;2.42;Yes;1.04
PPO;Map_01;5;2.37;Yes;1.04
PPO;Map_02;1;60;No;-1
PPO;Map_02;2;60;No;-1
PPO;Map_02;3;2.48;Yes;1.03
PPO;Map_02;4;60;No;-1
PPO;Map_02;5;60;No;-1
PPO;Map_03;1;2.82;Yes;0.7
PPO;Map_03;2;6.92;Yes;1.04
PPO;Map_03;3;5.3;Yes;2.04
PPO;Map_03;4;3.91;Yes;1.03
PPO;Map_03;5;4.82;Yes;1.03
PPO;Map_04;1;20.94;Yes;1.04
PPO;Map_04;2;35.88;Yes;1.04
PPO;Map_04;3;60;No;-1
PPO;Map_04;4;4.58;Yes;1.04
PPO;Map_04;5;41.98;Yes;0.06
